"County","FIPS","Year","Measure Type","Variable","Value"
"Connecticut","09","2010","Number","Estimated Population",3580171
"Connecticut","09","2011","Number","Estimated Population",3591927
"Connecticut","09","2012","Number","Estimated Population",3597705
"Connecticut","09","2013","Number","Estimated Population",3602470
"Connecticut","09","2014","Number","Estimated Population",3600188
"Connecticut","09","2015","Number","Estimated Population",3593862
"Connecticut","09","2016","Number","Estimated Population",3587685
"Connecticut","09","2017","Number","Estimated Population",3588184
"Fairfield County","09001","2010","Number","Estimated Population",919749
"Fairfield County","09001","2011","Number","Estimated Population",929398
"Fairfield County","09001","2012","Number","Estimated Population",936345
"Fairfield County","09001","2013","Number","Estimated Population",942865
"Fairfield County","09001","2014","Number","Estimated Population",946547
"Fairfield County","09001","2015","Number","Estimated Population",948116
"Fairfield County","09001","2016","Number","Estimated Population",949191
"Fairfield County","09001","2017","Number","Estimated Population",949921
"Hartford County","09003","2010","Number","Estimated Population",895504
"Hartford County","09003","2011","Number","Estimated Population",897778
"Hartford County","09003","2012","Number","Estimated Population",898572
"Hartford County","09003","2013","Number","Estimated Population",899765
"Hartford County","09003","2014","Number","Estimated Population",898810
"Hartford County","09003","2015","Number","Estimated Population",897626
"Hartford County","09003","2016","Number","Estimated Population",895497
"Hartford County","09003","2017","Number","Estimated Population",895388
"Litchfield County","09005","2010","Number","Estimated Population",189829
"Litchfield County","09005","2011","Number","Estimated Population",189076
"Litchfield County","09005","2012","Number","Estimated Population",187685
"Litchfield County","09005","2013","Number","Estimated Population",187062
"Litchfield County","09005","2014","Number","Estimated Population",185585
"Litchfield County","09005","2015","Number","Estimated Population",184349
"Litchfield County","09005","2016","Number","Estimated Population",183097
"Litchfield County","09005","2017","Number","Estimated Population",182177
"Middlesex County","09007","2010","Number","Estimated Population",165625
"Middlesex County","09007","2011","Number","Estimated Population",166265
"Middlesex County","09007","2012","Number","Estimated Population",165519
"Middlesex County","09007","2013","Number","Estimated Population",165293
"Middlesex County","09007","2014","Number","Estimated Population",164717
"Middlesex County","09007","2015","Number","Estimated Population",163698
"Middlesex County","09007","2016","Number","Estimated Population",163433
"Middlesex County","09007","2017","Number","Estimated Population",163410
"New Haven County","09009","2010","Number","Estimated Population",863618
"New Haven County","09009","2011","Number","Estimated Population",864725
"New Haven County","09009","2012","Number","Estimated Population",865335
"New Haven County","09009","2013","Number","Estimated Population",864558
"New Haven County","09009","2014","Number","Estimated Population",864073
"New Haven County","09009","2015","Number","Estimated Population",861594
"New Haven County","09009","2016","Number","Estimated Population",859973
"New Haven County","09009","2017","Number","Estimated Population",860435
"New London County","09011","2010","Number","Estimated Population",274036
"New London County","09011","2011","Number","Estimated Population",273226
"New London County","09011","2012","Number","Estimated Population",274280
"New London County","09011","2013","Number","Estimated Population",273388
"New London County","09011","2014","Number","Estimated Population",271864
"New London County","09011","2015","Number","Estimated Population",270266
"New London County","09011","2016","Number","Estimated Population",269307
"New London County","09011","2017","Number","Estimated Population",269033
"Tolland County","09013","2010","Number","Estimated Population",153214
"Tolland County","09013","2011","Number","Estimated Population",153063
"Tolland County","09013","2012","Number","Estimated Population",151973
"Tolland County","09013","2013","Number","Estimated Population",151908
"Tolland County","09013","2014","Number","Estimated Population",151748
"Tolland County","09013","2015","Number","Estimated Population",151717
"Tolland County","09013","2016","Number","Estimated Population",151145
"Tolland County","09013","2017","Number","Estimated Population",151461
"Windham County","09015","2010","Number","Estimated Population",118596
"Windham County","09015","2011","Number","Estimated Population",118396
"Windham County","09015","2012","Number","Estimated Population",117996
"Windham County","09015","2013","Number","Estimated Population",117631
"Windham County","09015","2014","Number","Estimated Population",116844
"Windham County","09015","2015","Number","Estimated Population",116496
"Windham County","09015","2016","Number","Estimated Population",116042
"Windham County","09015","2017","Number","Estimated Population",116359
