"County","FIPS","Year","Measure Type","Variable","Value"
"Connecticut","09","2010","Number","Estimated Population",3579114
"Connecticut","09","2011","Number","Estimated Population",3588283
"Connecticut","09","2012","Number","Estimated Population",3594547
"Connecticut","09","2013","Number","Estimated Population",3594841
"Connecticut","09","2014","Number","Estimated Population",3594524
"Connecticut","09","2015","Number","Estimated Population",3587122
"Connecticut","09","2016","Number","Estimated Population",3578141
"Connecticut","09","2017","Number","Estimated Population",3573297
"Connecticut","09","2018","Number","Estimated Population",3571520
"Connecticut","09","2019","Number","Estimated Population",3565287
"Fairfield County","09001","2010","Number","Estimated Population",919355
"Fairfield County","09001","2011","Number","Estimated Population",928000
"Fairfield County","09001","2012","Number","Estimated Population",935099
"Fairfield County","09001","2013","Number","Estimated Population",939924
"Fairfield County","09001","2014","Number","Estimated Population",944196
"Fairfield County","09001","2015","Number","Estimated Population",944943
"Fairfield County","09001","2016","Number","Estimated Population",944347
"Fairfield County","09001","2017","Number","Estimated Population",943038
"Fairfield County","09001","2018","Number","Estimated Population",943971
"Fairfield County","09001","2019","Number","Estimated Population",943332
"Hartford County","09003","2010","Number","Estimated Population",895236
"Hartford County","09003","2011","Number","Estimated Population",896864
"Hartford County","09003","2012","Number","Estimated Population",897706
"Hartford County","09003","2013","Number","Estimated Population",897678
"Hartford County","09003","2014","Number","Estimated Population",897407
"Hartford County","09003","2015","Number","Estimated Population",896290
"Hartford County","09003","2016","Number","Estimated Population",894141
"Hartford County","09003","2017","Number","Estimated Population",893076
"Hartford County","09003","2018","Number","Estimated Population",892580
"Hartford County","09003","2019","Number","Estimated Population",891720
"Litchfield County","09005","2010","Number","Estimated Population",189763
"Litchfield County","09005","2011","Number","Estimated Population",188972
"Litchfield County","09005","2012","Number","Estimated Population",187570
"Litchfield County","09005","2013","Number","Estimated Population",186836
"Litchfield County","09005","2014","Number","Estimated Population",185343
"Litchfield County","09005","2015","Number","Estimated Population",184122
"Litchfield County","09005","2016","Number","Estimated Population",182793
"Litchfield County","09005","2017","Number","Estimated Population",181667
"Litchfield County","09005","2018","Number","Estimated Population",181095
"Litchfield County","09005","2019","Number","Estimated Population",180333
"Middlesex County","09007","2010","Number","Estimated Population",165616
"Middlesex County","09007","2011","Number","Estimated Population",166174
"Middlesex County","09007","2012","Number","Estimated Population",165634
"Middlesex County","09007","2013","Number","Estimated Population",165329
"Middlesex County","09007","2014","Number","Estimated Population",164786
"Middlesex County","09007","2015","Number","Estimated Population",163724
"Middlesex County","09007","2016","Number","Estimated Population",163292
"Middlesex County","09007","2017","Number","Estimated Population",162942
"Middlesex County","09007","2018","Number","Estimated Population",162870
"Middlesex County","09007","2019","Number","Estimated Population",162436
"New Haven County","09009","2010","Number","Estimated Population",863357
"New Haven County","09009","2011","Number","Estimated Population",863871
"New Haven County","09009","2012","Number","Estimated Population",864566
"New Haven County","09009","2013","Number","Estimated Population",862820
"New Haven County","09009","2014","Number","Estimated Population",862885
"New Haven County","09009","2015","Number","Estimated Population",860186
"New Haven County","09009","2016","Number","Estimated Population",857901
"New Haven County","09009","2017","Number","Estimated Population",857748
"New Haven County","09009","2018","Number","Estimated Population",856971
"New Haven County","09009","2019","Number","Estimated Population",854757
"New London County","09011","2010","Number","Estimated Population",274004
"New London County","09011","2011","Number","Estimated Population",273037
"New London County","09011","2012","Number","Estimated Population",274091
"New London County","09011","2013","Number","Estimated Population",272976
"New London County","09011","2014","Number","Estimated Population",271462
"New London County","09011","2015","Number","Estimated Population",269636
"New London County","09011","2016","Number","Estimated Population",268403
"New London County","09011","2017","Number","Estimated Population",267419
"New London County","09011","2018","Number","Estimated Population",266285
"New London County","09011","2019","Number","Estimated Population",265206
"Tolland County","09013","2010","Number","Estimated Population",153239
"Tolland County","09013","2011","Number","Estimated Population",153050
"Tolland County","09013","2012","Number","Estimated Population",151967
"Tolland County","09013","2013","Number","Estimated Population",151778
"Tolland County","09013","2014","Number","Estimated Population",151693
"Tolland County","09013","2015","Number","Estimated Population",151734
"Tolland County","09013","2016","Number","Estimated Population",151162
"Tolland County","09013","2017","Number","Estimated Population",151009
"Tolland County","09013","2018","Number","Estimated Population",150689
"Tolland County","09013","2019","Number","Estimated Population",150721
"Windham County","09015","2010","Number","Estimated Population",118544
"Windham County","09015","2011","Number","Estimated Population",118315
"Windham County","09015","2012","Number","Estimated Population",117914
"Windham County","09015","2013","Number","Estimated Population",117500
"Windham County","09015","2014","Number","Estimated Population",116752
"Windham County","09015","2015","Number","Estimated Population",116487
"Windham County","09015","2016","Number","Estimated Population",116102
"Windham County","09015","2017","Number","Estimated Population",116398
"Windham County","09015","2018","Number","Estimated Population",117059
"Windham County","09015","2019","Number","Estimated Population",116782
